,0
0,வேர்பு
1,இசப்கோல்
2,வெள்ளரிக்காய்
3,வெள்ளைப்பூண்டு
4,வேப்பம் மரப்
5,தயிர்
6,நெல்லிம்
7,வாழை
8,காராமணி
9,கத்திரி
10,கறிவேப்பிலை
11,ததம்
12,அவர்
13,பழத்
14,இலுப்பை
15,வேகவை
16,முள்ளை
17,அரசு மரப்
18,பூவை
19,இலைக்கள்ளி
20,பெருஞ்சீரகம்
21,அசோகப்பட்டை
22,தக்காளி
23,கடுக்கா
24,அமுக்கராவை
25,நொச்சி
26,துருவு
27,துயிலிக்கீரை
28,அனைத்து
29,ஆரை கீரை
30,பெருங்காயம்
31,நிலாவரை பூ
32,பண்ணை
33,கடுக்காய்த்
34,கற்பூரவள்ளி இலை
35,நெல்லிக்கா
36,ஏலக்காய்
37,வசீகரம்
38,சாற்று
39,புளிச்சக்
40,ஸ்பூன்
41,கசகசாவை
42,அக்கரகாரம்
43,லவங்கம்பட்டை
44,பழங்கு
45,சோற்றை
46,மிளகாய்ச் இலை
47,ஏலக்காய் விதை
48,இஞ்சியை
49,துளிரை
50,கிராம்பு
51,ஆரஞ்சு
52,இத்தி
53,சுண்டைக்காய்
54,அன்னாசி
55,கொய்யா
56,எள்ளை
57,ஈர
58,கொடி
59,சாப்பிட்டுவந்தால்
60,பூசிக்கொண்டால்
61,தோலை
62,வன்னி
63,பேரீச்சங்கா
64,கானாம்வாழை கீரை
65,அசோகம் மரப்
66,பூவு
67,செலரிக்
68,தடவி
69,பொன்னாவரை
70,குமட்டிக்காய்
71,வீக்கம்
72,மகிழம்
73,உளுத்தம்
74,வெந்தயக்கீரை
75,நோய்
76,கூந்தல்
77,இலைச்சாற்றை
78,பருப்பு
79,உருத்திர
80,பொன்னாங்கண்ணிக்
81,நாள்
82,கஞ்சி
83,புளியங்கொட்டை
84,புளியம் மரப்
85,இலவம்
86,ஜாதிக்காய்
87,மிளகா
88,பொடியாக்கி
89,இம்பூறல் இலை
90,இரவு
91,நாரத்தம்
92,கீரையோடு
93,ஆயை
94,கடுக்காய்
95,மரவிமுதை
96,சுக்கை
97,அது
98,தண்ணீர்விட்டான்
99,தலா50
100,பச்சடி
101,இறகு
102,பூசணி
103,பூண்டை
104,பார்லி
105,கண்
106,தனியா
107,சாப்பிட்டுவம்
108,உள்ளி
109,முளைக்கீரை
110,அம்மான்பச்சரி கீரை
111,பவுடராக்கி
112,இசம் இலை
113,மாதுளம் வேர்பு
114,மாங்காய்
115,புரச
116,ஓடு
117,ஊமத்தை
118,பிசினை
119,நாவல் இலை
120,மாவாக்கி
121,தினை
122,காசு
123,கனி
124,பசியின்மை
125,வெந்தயக் கீரை
126,இலுப்பு
127,காயம்
128,புதினா இலை
129,புல்லை
130,இலை
131,அழுத்தம்
132,புழு
133,நல்லெண்ணெய்
134,பூ பூ
135,வேர் கீரை
136,நாவல் பூ
137,செலரிக் கீரை
138,கால்
139,தேங்காய்த்
140,சித்தரம்
141,திராட்சை
142,பாலை
143,கஷாயம்
144,பூவரசு மரப்
145,உசில
146,பாக்கு
147,எலும்பு
148,ஆமணம் இலை
149,ஆளி விதை
150,தான்றிக்கா
151,பயிறு
152,அவர் இலை
153,அறுவதா
154,கருஞ்சீரகம்
155,பூனைக்காலி
156,மா
157,வெந்தயத்தை
158,அம்மான்
159,தேன்
160,வாழைப்பூ
161,விதை விதை
162,நீலம்
163,கழற்சிக்காய்
164,செந்துளசி
165,நச்சுக்கொட்டை
166,உலர்ந்த
167,குங்குமப்
168,சின்ன
169,கற்றாழை
170,மார்பகம்
171,கொடிப்பசலை
172,செம்பருத்திப்பூ்
173,பூண்டு கீரை
174,சீமை
175,பச்சிலை
176,நெல்லிக்
177,பூவரசு இலை
178,அதிவிடயம்
179,அன்னாசிப்
180,ஆடையொட்டி இலை
181,வெள்ளாட்டு
182,நிலப்பனை
183,சு
184,கூழை
185,டம்ளர்
186,சர்ப்பகந்தா
187,சிலாசத்து பொடி
188,பயறு பூ
189,எலுமிச்சை
190,கொத்தமல்லி
191,வேரையும்
192,வெண்ணெ
193,ஏலரிசி
194,ஆடாதொடசம்
195,செம்பு
196,மாம்பழம்
197,ஆவாரம்
198,நாயுருவி
199,மாலை
200,துத்தி
201,புண்ணாக்கை
202,முருங்கை வேர்பு
203,ருத்திராட்சம்
204,காசினிக்
205,எலுமிச்சன்
206,தேக்கரண்டி
207,உளுந்து பருப்பு
208,நாவல்
209,சரக்கொன்றை பூ
210,லவங்கப்பத்திரி
211,பேரீச்சம்
212,புளியம் இலை
213,புதினாவை
214,அகத்தி கீரை
215,முந்திரி
216,அக்ரூட்
217,தழுதாழை
218,பரட்டை கீரை
219,பழுத்த
220,மரம்
221,ருத்திராட்சம் பொடி
222,நாரத்தம் மரப்
223,மொட்டு
224,பவுடரை
225,தேள்
226,கசகசா
227,கிள்ளிப்போட்டு
228,கல்யாணமுருங்கை கீரை
229,வேப்பு
230,வெறும்
231,கரு<UNK>்ச்
232,கிராம்பை
233,இலை இலை
234,ஆறு
235,துளச்
236,வாதநாராயணன் இலை
237,ஆவாரம் பூ
238,கல்லீரல்
239,பிரண்டை கீரை
240,நெற்றி
241,சாலாமிசரி
242,கண்டங்கத்திரி
243,மணத்தக்காளி
244,உத்தாமணி
245,பாம்பு
246,மயில்
247,சடை இலை
248,பிரச்னை
249,கட்டை
250,இளம்
251,மிளகாய்ச்
252,சூரியம்
253,அக்ரூட் பருப்பு
254,தண்டு
255,ரணம்
256,குப்பைமேனி கீரை
257,சிறுரை
258,அத்தி இலை
259,மாதுளம் பழம்
260,சொறி
261,லவங்கம் பட்டை
262,ஆனை
263,புதினா
264,பருப்பு பருப்பு
265,துவர்
266,ஆள்வள்ளி
267,கருவேலம்
268,பசலை கீரை
269,சாறுசேர்த்து
270,துயிலி
271,உதட்டு
272,விதை
273,வங்காரவள்ளை
274,தென்னம்பாளை
275,மரம்து
276,துலக்கினால்
277,குங்கிலியம்
278,இருமுறை
279,கரிசாலை
280,இருவேளை
281,தேயிலை
282,கடலை
283,சிறுநீர்க்கட்டு
284,கொட்டை
285,ஓமம்
286,பாகற்கா
287,சதகுப்பு
288,வெற்றிலை
289,குளிர்
290,மிளகாய்வற்றலை
291,எலியாமணக்கு
292,ஆல்பகோடா பழம்
293,முடக்கம்
294,கீரையுடன்சு
295,பப்பாளி
296,படை
297,கல்யாணமுருங்கை
298,ஆளி
299,இஞ்சம்
300,வல்லாரைக்கீரை
301,வெங்காயத்தாள்
302,கல்
303,புரசம்
304,செய்துகொள்ளவ்
305,முகம்
306,நொய்
307,தண்டு கீரை
308,வெல்லம்
309,கடுகு
310,தேங்காய்ப்பால்
311,பனங்
312,பாசிப்
313,ஆமணம்
314,கற்பூரம்
315,வயில்
316,மாவிலம்
317,இராம்
318,துண்டை
319,மாக்கிக்
320,பப்பாளிக்
321,செம்பருத்தி பருப்பு
322,ஆகவ
323,கராம்
324,பார்லி கீரை
325,இப்பிலி
326,மொட்டை
327,ஆடாதொடை இலை
328,பச்சரிசி
329,மாவை
330,முட்டைக்கோஸை
331,ஊழலாற்றி மரப்
332,சாப்பிட்டுவர
333,சரகம்
334,கொடிப்பசலை கீரை
335,வசம்பு
336,வெங்காயத்தாளை
337,தோல்
338,சீர்
339,கணு
340,பட்டை
341,ஏலக்கா
342,உகாமரம்
343,றினால்
344,சடை
345,ரை
346,வெள்ளரி பருப்பு
347,மாம்பருப்பு
348,பொன்னாவரைக்
349,வல்லார் இலை
350,மர வேர்பு
351,துத்தி இலை
352,பரு
353,ஆடையொட்டி வேர்பு
354,தென்னை மரப்
355,காயவை
356,விளாம்
357,மூன்றை
358,செடி
359,மகிழம் பூ
360,பாவட்டை
361,சீரகம்
362,று
363,எண்ணிக்கை
364,பாற்சொரிக்
365,நார்
366,ஆரை
367,நரம்பு
368,குருந்தொட்டி
369,சிறுசெருப்படை
370,பப்பாளிச்
371,புண்
372,குடை
373,கொட்டைப்பாக்கு
374,சக்தி
375,ஆடையொட்டி
376,கீரை கீரை
377,தனியாவை
378,குப்பைமேனி
379,அன்னாசிப் பழம்
380,தினம்
381,மாங்கொட்
382,ஓமம்து
383,வற்றலை
384,வெள்ளரி வேர்பு
385,அரிசி
386,மாம் பூ
387,எண்ணெ
388,இரண்டு
389,தைலமாக்கி
390,முந்திரி பருப்பு
391,மணத்தக்காளி கீரை
392,வேளை
393,அகத்தி
394,உன்
395,வாய்விளங்கம்
396,பற்
397,தாமரை
398,எலுமிச்சை இலை
399,ஜவ்வரிசி
400,புளி
401,பாதாம் பருப்பு
402,சாறு
403,ஆடாதொடா
404,முள்
405,சிவப்பு
406,பயறு
407,பொடி பொடி
408,அன்றாடம்
409,நெல்லிக்காய் பொடி
410,கீர்
411,புங்கம்
412,பங்கு
413,பூசணி விதை
414,சாம்பிராணி
415,பச்சை
