,0,1,2,3,4,5,6,7,8,9,10
வேர்பு,சர்பு,நரம்பு,வசம்பு,வேர்,மர வேர்பு,,,,,,
வெள்ளரிக்காய்,வெள்ளரிக்கா,,,,,,,,,,
வேப்பம் மரப்,வேப்பம் பூ,இலுப்பை மரப்,வேப்பம் இலை,,,,,,,,
தயிர்,,,,,,,,,,,
நெல்லிம்,நெல்லிக்,நெல்லி,வெல்லம்,,,,,,,,
கத்திரி,கஸ்தூரி,,,,,,,,,,
கறிவேப்பிலை,கறிவேப்பு,,,,,,,,,,
ததம்,இதம்,,,,,,,,,,
அவர்,,,,,,,,,,,
பழத்,பழத்து,பழம்,,,,,,,,,
இலுப்பை,,,,,,,,,,,
முள்ளை,வெள்ளை,முள்,கள்ளை,முளை,முட்டை,மாதுளை,முள்ளி,,,,
அரசு மரப்,மரப் மரப்,,,,,,,,,,
பூவை,,,,,,,,,,,
பெருஞ்சீரகம்,கருஞ்சீரகம்,,,,,,,,,,
அசோகப்பட்டை,அசோகம் மரப்பட்டை,,,,,,,,,,
கடுக்கா,,,,,,,,,,,
அமுக்கராவை,அமுக்கரா,,,,,,,,,,
நொச்சி,குச்சி,மலச்சி,பூச்சி,,,,,,,,
துயிலிக்கீரை,செலரிக் கீரை,முள்ளிக்கீரை,துயிலி கீரை,,,,,,,,
ஆரை கீரை,வேளை கீரை,முளை கீரை,கீரை கீரை,பசலை கீரை,அரை கீரை,,,,,,
பெருங்காயம்,வெங்காயம்,,,,,,,,,,
நிலாவரை பூ,நிலாவரை,,,,,,,,,,
பண்ணை,,,,,,,,,,,
கடுக்காய்த்,,,,,,,,,,,
கற்பூரவள்ளி இலை,,,,,,,,,,,
நெல்லிக்கா,நெல்லிக்,அருநெல்லிக்கா,நெல்லிக்கனி,நெல்லிக்காய்,,,,,,,
ஏலக்காய்,பாகற்காய்,ஏலக்கா,,,,,,,,,
வசீகரம்,சீரகம்,,,,,,,,,,
சாற்று,சாற்றை,சாற்றுடன்,சாறு,வற்று,,,,,,,
புளிச்சக்,,,,,,,,,,,
கசகசாவை,,,,,,,,,,,
அக்கரகாரம்,,,,,,,,,,,
லவங்கம்பட்டை,லவங்கப்பட்டை,,,,,,,,,,
பழங்கு,பறங்கு,நுங்கு,புண்கு,கிழங்கு,பழகு,பங்கு,பழத்து,,,,
சோற்றை,சோம்பை,சாற்றை,வற்றலை,,,,,,,,
மிளகாய்ச் இலை,மிளகாய்வற்றலை,,,,,,,,,,
ஏலக்காய் விதை,,,,,,,,,,,
இஞ்சியை,இஞ்சி,,,,,,,,,,
துளிரை,துளசி,துவிர்,துளசசி,தளிரை,துளி,மாதுளை,,,,,
கிராம்பு,கிராம்புத்,,,,,,,,,,
ஆரஞ்சு,பிஞ்சு,,,,,,,,,,
இத்தி,அகத்தி,அத்தி,,,,,,,,,
சுண்டைக்காய்,,,,,,,,,,,
அன்னாசி,நன்னாரி,,,,,,,,,,
கொய்யா,,,,,,,,,,,
எள்ளை,கள்ளை,வெள்ளை,எள்ளு,,,,,,,,
சாப்பிட்டுவந்தால்,,,,,,,,,,,
தோலை,,,,,,,,,,,
வன்னி,,,,,,,,,,,
பேரீச்சங்கா,,,,,,,,,,,
கானாம்வாழை கீரை,,,,,,,,,,,
அசோகம் மரப்,,,,,,,,,,,
பூவு,பூவரசு,,,,,,,,,,
பொன்னாவரை,,,,,,,,,,,
குமட்டிக்காய்,கழற்சிக்காய்,,,,,,,,,,
வீக்கம்,லவங்கம்,,,,,,,,,,
மகிழம்,மகிழ மரப்,மகிழ,மகிழம் பூ,,,,,,,,
உளுத்தம்,,,,,,,,,,,
வெந்தயக்கீரை,வெந்தயக் கீரை,வெந்தயத்தை,வெந்தயக்,,,,,,,,
நோய்,நாய்,நெய்,,,,,,,,,
கூந்தல்,,,,,,,,,,,
பருப்பு,கறுப்பு,பழுப்பு,பருப்புடன்,குப்பு,,,,,,,
உருத்திர,,,,,,,,,,,
பொன்னாங்கண்ணிக்,பொன்னாங்கண்ணி,,,,,,,,,,
நாள்,நாய்,,,,,,,,,,
கஞ்சி,இஞ்சி,,,,,,,,,,
புளியம் மரப்,புளியம் இலை,,,,,,,,,,
